budget,runtime,vote_average,vote_count,popularity,release_year,release_month,roi,primary_genre,revenue
7000000.0,104.0,6.8,898.0,6.950458,1995.0,8.0,2.6293492857142855,Thriller,25405445.0
27000000.0,102.0,6.3,88.0,4.646132,1995.0,9.0,-0.40219177777777776,Drama,16140822.0
90000000.0,128.0,6.9,2094.0,15.138855,1995.0,5.0,3.067796288888889,Action,366101666.0
55000000.0,134.0,5.9,319.0,15.178338,1995.0,7.0,1.3200079090909091,Action,127600435.0
20000000.0,107.0,6.2,406.0,14.810519,1995.0,9.0,-0.6218136,Action,7563728.0
25000000.0,97.0,5.5,380.0,11.715868,1995.0,5.0,-0.2369712,Adventure,19075720.0
90000000.0,96.0,5.4,643.0,8.184815,1995.0,6.0,0.2610386777777778,Science Fiction,113493481.0
1500000.0,91.0,6.8,280.0,4.877872,1995.0,7.0,3.9414773333333333,Drama,7412216.0
500000.0,89.0,7.2,64.0,10.058329,1995.0,1.0,1.297504,Drama,1148752.0
6000000.0,94.0,6.8,400.0,8.25547,1995.0,10.0,-0.6462398333333333,Romance,2122561.0
15000000.0,92.0,5.2,153.0,7.024227,1995.0,6.0,3.4,Action,66000000.0
22000000.0,114.0,5.6,359.0,13.304342,1995.0,7.0,4.028543863636363,Crime,110627965.0
150000.0,94.0,5.8,14.0,1.165039,1995.0,6.0,2.1491333333333333,Comedy,472370.0
50000000.0,135.0,5.5,111.0,6.752119,1995.0,10.0,-0.79235186,Drama,10382407.0
45000000.0,128.0,4.9,261.0,17.502375,1995.0,9.0,-0.5477610222222222,Drama,20350754.0
7000000.0,112.0,7.2,115.0,5.552946,1995.0,6.0,0.19277571428571427,Comedy,8349430.0
35000000.0,108.0,5.5,457.0,13.492845,1995.0,7.0,2.2392600857142857,Science Fiction,113374103.0
42000000.0,145.0,6.8,334.0,11.223055,1995.0,10.0,-0.8104930714285714,Crime,7959291.0
14000000.0,99.0,4.6,9.0,1.820419,1995.0,9.0,-0.5871428571428572,Thriller,5780000.0
60000000.0,100.0,5.6,217.0,7.490247,1995.0,7.0,0.7387347166666667,Action,104324083.0
20000000.0,103.0,6.5,168.0,9.715639,1995.0,8.0,1.50062535,Drama,50012507.0
175000000.0,135.0,5.9,1017.0,16.885184,1995.0,7.0,0.5098184,Adventure,264218220.0
2800000.0,135.0,6.7,35.0,2.486073,1994.0,5.0,-0.06553464285714286,Drama,2616503.0
2500000.0,105.0,7.7,984.0,11.304979,1995.0,1.0,1.214162,Drama,5535405.0
10000000.0,89.0,6.2,464.0,6.638116,1995.0,2.0,1.6488734,Comedy,26488734.0
21000000.0,115.0,6.3,48.0,3.030309,1995.0,2.0,0.11666666666666667,Comedy,23450000.0
27000.0,92.0,7.4,769.0,10.513367,1994.0,9.0,115.70851851851852,Comedy,3151130.0
25000000.0,97.0,6.3,184.0,7.438934,1994.0,10.0,-0.112,Romance,22200000.0
55000000.0,123.0,5.9,217.0,11.812244,1994.0,12.0,2.891183436363636,Drama,214015089.0
16000000.0,107.0,6.5,1894.0,9.844558,1994.0,12.0,14.454710875,Comedy,247275374.0
18000000.0,127.0,7.3,639.0,11.720358,1994.0,9.0,-0.6729190555555555,Comedy,5887457.0
15000000.0,103.0,5.0,24.0,8.182165,1995.0,3.0,-0.186583,Drama,12201255.0
700000.0,171.0,7.7,91.0,9.47666,1994.0,9.0,10.186587142857142,Documentary,7830611.0
5000000.0,99.0,6.9,299.0,9.438042,1994.0,9.0,-0.390173,Drama,3049135.0
10500000.0,113.0,6.0,17.0,2.688562,1995.0,1.0,1.5071672380952381,Comedy,26325256.0
60000000.0,123.0,7.2,1558.0,11.970205,1994.0,11.0,2.7277434666666664,Horror,223664608.0
14000000.0,139.0,5.2,10.0,1.596058,1995.0,3.0,-0.8232857142857143,Drama,2474000.0
60000000.0,109.0,4.7,381.0,6.710215,1994.0,11.0,-0.38333333333333336,Comedy,37000000.0
11000000.0,121.0,8.1,6778.0,42.149697,1977.0,5.0,69.49072790909091,Adventure,775398007.0
2000000.0,105.0,6.6,70.0,4.126083,1992.0,4.0,9.832734,Drama,21665468.0
30000000.0,133.0,7.2,636.0,12.199047,1994.0,12.0,4.354629433333334,Adventure,160638883.0
17000000.0,106.0,6.4,28.0,7.698526,1995.0,3.0,-0.5527196470588235,Drama,7603766.0
45000000.0,123.0,6.1,272.0,14.287753,1994.0,11.0,1.4890288,Drama,112006296.0
31000000.0,112.0,6.1,128.0,5.930957,1994.0,12.0,2.4414134516129034,Drama,106683817.0
34000000.0,119.0,6.9,927.0,11.226856,1994.0,8.0,0.47890488235294115,Crime,50282766.0
50000000.0,127.0,6.4,522.0,13.676444,1995.0,3.0,2.7971912,Action,189859560.0
16000000.0,110.0,8.2,4293.0,20.477329,1994.0,9.0,1.830310875,Thriller,45284974.0
11000000.0,113.0,6.6,9.0,1.433544,1995.0,5.0,-0.7424703636363637,Comedy,2832826.0
8000000.0,154.0,8.3,8670.0,140.950236,1994.0,9.0,25.74109525,Thriller,213928762.0
400000.0,105.0,6.1,9.0,1.638622,1992.0,2.0,-0.619195,Comedy,152322.0
32000000.0,107.0,6.2,431.0,7.54701,1995.0,2.0,-0.420235625,Action,18552460.0
22000000.0,108.0,6.4,7.0,3.395867,1995.0,3.0,-0.43636363636363634,Drama,12400000.0
15000000.0,133.0,5.3,33.0,6.259433,1994.0,12.0,-0.24662313333333333,Drama,11300653.0
35000000.0,89.0,6.5,251.0,8.910462,1994.0,11.0,-0.7208097714285714,Animation,9771658.0
45000000.0,110.0,5.5,317.0,10.388183,1994.0,10.0,2.7858351555555556,Action,170362582.0
55000000.0,121.0,6.8,942.0,13.328924,1994.0,10.0,2.5739502181818184,Action,196567262.0
22000000.0,97.0,6.3,501.0,9.665424,1994.0,11.0,7.628788954545454,Fantasy,189833357.0
25000000.0,142.0,8.5,8358.0,51.645403,1994.0,9.0,0.13365876,Drama,28341469.0
25000000.0,98.0,5.5,140.0,7.602087,1995.0,3.0,-0.8374202,Action,4064495.0
38000000.0,118.0,6.4,461.0,8.105708,1994.0,11.0,2.1578947368421053,Science Fiction,120000000.0
6000000.0,98.0,5.4,33.0,2.86007,1995.0,5.0,1.0,Crime,12000000.0
11000000.0,118.0,7.5,943.0,10.3919,1993.0,12.0,-0.08793045454545455,Romance,10032765.0
30000000.0,106.0,5.4,163.0,5.188399,1995.0,8.0,-0.1984,Action,24048000.0
17000000.0,103.0,6.5,340.0,15.783615,1995.0,4.0,9.709236235294117,Comedy,182057016.0
3000000.0,106.0,6.9,104.0,5.254847,1994.0,9.0,4.039879666666667,Drama,15119639.0
15000000.0,86.0,6.4,1684.0,11.247957,1994.0,2.0,6.1478264,Comedy,107217396.0
